"Location","Barcode","Category","Product","Brand","P Price","MU%","S Price","Stock","UOM","Alert Level","Tax Type"
"store","1779649638919","ELECTRICAL","1.6mm #14 AWG ROYUX SOLID WHITE 75M # RNM14AXWT75","ROYU","39.60","46%","58.00","5","MTRS","0","VAT"
"store","1781917357173","ACCESSORIES","1201 GOLD TILE TRIM L TYPE","YAKILIA","88.00","122%","195.00","50","PCS","0","VAT"
"store","1781917636021","ACCESSORIES","1202 ANTIQUE TILE TRIM C TYPE","YAKILIA","88.00","110%","185.00","21","PCS","0","VAT"
"store","1781917594340","ACCESSORIES","1202 GOLD TILE TRIM C TYPE","YAKILIA","88.00","110%","185.00","18","PCS","0","VAT"
"store","1780703852213","ACCESSORIES","1202 SILVER TILE TRIM C TYPE","YAKILIA","85.50","116%","185.00","26","PCS","0","VAT"
"store","1781917451068","ACCESSORIES","1203 SILVER STAIRNOSING H TYPE","YAKILIA","270.00","104%","550.00","41","PCS","0","VAT"
"store","1777086707188","ACCESSORIES","2B ABS LAVATORY FAUCET STRAIGHT HANDLE SH. MATTE BLK PA-L663","2B","270.40","57%","425.00","7","PCS","0","VAT"
"store","1772064945415","HARDWARE","2B ALL PURPOSE SILICON SEALANT NEUTRAL CURE","2B","124.00","60%","198.00","3","CARTRIDGE","0","VAT"
"store","1772064668012","HARDWARE","2B ALUMINUM SCREEN 4FTX100FT 5.6KG (30.48M)","2B","160.24","40%","225.00","26.48","PCS","0","VAT"
"store","1772487904525","HARDWARE","2B CHEMICAL HOSE 1/2 *90M","2B","27.54","38%","38.00","86","MTRS","0","VAT"
"store","1772487868525","HARDWARE","2B CHEMICAL HOSE 1/4 *90M","2B","15.27","51%","23.00","90","MTRS","0","VAT"
"store","1777086887722","ACCESSORIES","2B CUTTING DISC METAL/STAINLESS SUPERTHIN","VKOYA","15.12","217%","48.00","28","PCS","0","VAT"
"store","1772064400620","HARDWARE","2B GALVANIZED WELDED WIRE # 19 1X48X25M","2B","67.84","89%","128.00","0.25","PCS","0","VAT"
"store","1772064503075","HARDWARE","2B GALVANIZED WELDED WIRE # 21 1/2X48X25","2B","67.84","77%","120.00","1","PCS","0","VAT"
"store","1772137376093","HARDWARE","2B HOG WIRE 8 HOLE 1.1Mx30M","2B","1172.00","49%","1750.00","5","ROLL","0","VAT"
"store","1772137436943","HARDWARE","2B HOG WIRE 9 HOLE 1.2Mx30M","2B","1120.00","47%","1650.00","1","ROLL","0","VAT"
"store","1772064753012","HARDWARE","2B PE COMP. COUPLING 1/2","2B","28.00","71%","48.00","21","PCS","0","VAT"
"store","1772064298587","HARDWARE","2B POWER SPRAYER HOSE W/ FITTINGS 3PLY 10M","2B","302.40","59%","480.00","3","PCS","0","VAT"
"store","1777087060836","ACCESSORIES","2B POWER SPRAYER HOSE W/ FITTINGS 3PLY 15M","2B","422.40","37%","580.00","1","ROLL","0","VAT"
"store","1777086967482","ACCESSORIES","2B POWER SPRAYER NOZZLE 1/2","2B","100.00","58%","158.00","29","PCS","0","VAT"
"store","1773526564123","PLUMBING","2B PVC BALL VALVE 1"",2B,52.80,136%,125.00,42,PCS,0,VAT,actionsadd serial numberconvert itemeditremove","","0.00","0%","0.00","0","PCS","0","VAT"
"store","1772296805472","ELECTRICAL","3 1/2 CEILING RECEPTACLE WHITE E27 FEDCRW103,FIREFLY,26.25,33%,35.00,1,PCS,0,VAT,actionsadd serial numberconvert itemeditremove","","0.00","0%","0.00","0","PCS","0","VAT"
"store","1771984163101","TILES","30X30 # C305","HOMMSS","26.00","73%","45.00","732","PCS","0","VAT"
"store","1771984317582","TILES","30X30 # C311","HOMMSS","26.00","85%","48.00","1103","PCS","0","VAT"
"store","1771984198573","TILES","30X30 # C312","HOMMSS","26.00","73%","45.00","27","PCS","0","VAT"
"store","1771984292655","TILES","30X30 # C318","HOMMSS","26.00","85%","48.00","80","PCS","0","VAT"
"store","1771984256871","TILES","30X30 # FX3301","HOMMSS","36.00","61%","58.00","773","PCS","0","VAT"
"store","1782254270927","TILES","30X30 # FX3303","HOMMSS","38.00","53%","58.00","1167","PCS","0","VAT"
"store","1782254304922","TILES","30X30 # FX3308","HOMMSS","38.00","53%","58.00","1224","PCS","0","VAT"
"store","1772826951863","TILES","30X30 # LIBERTY IVORY","MARIWASA","22.00","77%","39.00","6","PCS","0","VAT"
"store","1772478053146","TILES","30X30 # ROMANA WHITE","MARIWASA","22.00","77%","39.00","9","PCS","0","VAT"
"store","1775234896035","TILES","30X30 # SIDE DAMAGED","","0.00","0%","36.00","0","PCS","0","VAT"
"store","1771984346710","TILES","30X30 # XF3041","HOMMSS","26.00","85%","48.00","251","PCS","0","VAT"
"store","1771984065589","TILES","30X30 # YH3001","HOMMSS","26.00","50%","39.00","4","PCS","0","VAT"
"store","1779402877418","TILES","30X30 #ASSORTED","","26.00","73%","45.00","0","PCS","0","VAT"
"store","1775234861253","TILES","30X30 ASSORTED","","0.00","0%","28.00","0","PCS","0","VAT"
